drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
MELATONIN,2,Oral,mg,OD,Oral Solution,5 mg/5ml,1018379,N,CENTRAL NERVOUS SYSTEM,04.01.01,Bottle,200,mL,"['5 mg', '5ml']"
LORAZEPAM,0.25,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,2004007,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Batch,50,mL,"['5 mg', '5ml']"
LORAZEPAM,0.25,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,2004007,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,150,mL,"['5 mg', '5ml']"
AZITHROMYCIN,200,Oral,mg,"In the morning on Mondays, Wednesdays and Fridays",Oral Suspension,200 mg/5ml,2005476,N,INFECTIONS,05.01.05,Pack,30,mL,"['200 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,As required QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
FUSIDIC ACID,750,Oral,mg,TDS,Oral Suspension,250 mg/5ml,1003533,N,INFECTIONS,05.01.07,Bottle,50,mL,"['250 mg', '5ml']"
FUSIDIC ACID,750,Oral,mg,TDS,Oral Suspension,250 mg/5ml,1003533,N,INFECTIONS,05.01.07,Pack,90,mL,"['250 mg', '5ml']"
OXYCODONE,10,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
CHLORPROMAZINE,25,Oral,mg,OM,Oral Solution,25 mg/5ml,3003309,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['25 mg', '5ml']"
CARBOCISTEINE,750,NG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
DOCUSATE,200,NG,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
PARACETAMOL,"1,000.00",NG,mg,QDS,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
FUROSEMIDE,40,NG,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
METHADONE,20,Oral,mg,TDS,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,TDS,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
KETAMINE (ORANGE),50,Oral,mg,TDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
METHADONE (contains sugar),90,Oral,mg,OM,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
METOCLOPRAMIDE,10,NG,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1005899,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,150,mL,"['5 mg', '5ml']"
ONDANSETRON,"4,000.00",Oral,microgram,TDS,Oral Solution Sugar Free,4 mg/5ml,1009536,N,CENTRAL NERVOUS SYSTEM,4.06,Bottle,50,mL,"['4 mg', '5ml']"
AMITRIPTYLINE,175,Oral,mg,ON,Oral Solution Sugar Free,50 mg/5ml,2007191,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,150,mL,"['50 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",PO / NG / PEG,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
FERROUS FUMARATE,210,Oral,mg,OM,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
FERROUS FUMARATE,210,Oral,mg,TDS,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
METFORMIN,"1,000.00",PO / NG / PEG,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,"1,000.00",PO / NG / PEG,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
DOCUSATE,50,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
DOCUSATE,50,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
MEMANTINE,20,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,50,mL,"['10 mg', 'ml']"
MEMANTINE,20,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,100,mL,"['10 mg', 'ml']"
MORPHINE SULFATE,10,Oral,mg,4 Hourly,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,4 Hourly,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
FLUCONAZOLE,150,PO / NG / PEG,mg,OM,Oral Suspension,50 mg/5ml,1004021,N,INFECTIONS,5.02,Bottle,1,mL,"['50 mg', '5ml']"
FLUCONAZOLE,150,Oral,mg,OM,Oral Suspension,50 mg/5ml,1004021,N,INFECTIONS,5.02,Bottle,1,mL,"['50 mg', '5ml']"
METHADONE,40,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,40,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
PARACETAMOL SUGAR FREE,250,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
SODIUM PICOSULFATE,20,Oral,mg,ON,Oral Solution,5 mg/5ml,1004727,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PARACETAMOL SUGAR FREE,180,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
PREDNISOLONE,10,Oral,mg,alternate days,Oral Solution Sugar Free,10 mg/1ml,9008211,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,mL,"['10 mg', '1ml']"
PREDNISOLONE,5,Oral,mg,alternate days,Oral Solution Sugar Free,10 mg/1ml,9008211,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,mL,"['10 mg', '1ml']"
PREDNISOLONE,10,Oral,mg,On alternate nights,Oral Solution Sugar Free,10 mg/1ml,9008211,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,mL,"['10 mg', '1ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PARACETAMOL SUGAR FREE,375,Oral,mg,6H,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
SODIUM FEREDETATE,2.5,Oral,mL,TDS,Oral Solution Sugar Free,190 mg/5ml,1002721,N,NUTRITION AND BLOOD,09.01.01.01,Bottle,500,mL,"['190 mg', '5ml']"
DEXAMETHASONE,"6,000.00",NG,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"6,000.00",NG,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
BACLOFEN,5,PEG,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
METHADONE,40,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,40,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METRONIDAZOLE,120,Oral,mg,TDS,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
CLONAZEPAM,500,Oral,microgram,ON,Oral Solution Sugar Free,500 micrograms/5ml,1013395,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['500 micrograms', '5ml']"
SERTRALINE,25,NG,mg,OM,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
METHADONE,30,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,30,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
CHLORPHENAMINE,"1,000.00",Oral,microgram,ON,Oral Solution Sugar Free,2 mg/5ml,3003306,Y,RESPIRATORY SYSTEM,03.04.01,Bottle,150,mL,"['2 mg', '5ml']"
METOCLOPRAMIDE,5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1005899,Y,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,150,mL,"['5 mg', '5ml']"
ATENOLOL,100,Oral,mg,OM,Oral Solution Sugar Free,25 mg/5ml,1005070,N,CARDIVASCULAR SYSTEM,2.04,Bottle,300,mL,"['25 mg', '5ml']"
PARACETAMOL SUGAR FREE,180,Oral,mg,QDS,Oral Suspension,120 mg/5ml,1005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,mL,"['120 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,400,Oral,microgram,TDS,Oral Solution,1 mg/5ml,1013916,Y,SKIN,13.12,Pack,150,mL,"['1 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,400,Oral,microgram,TDS,Oral Solution,1 mg/5ml,1013916,Y,SKIN,13.12,Pack,200,mL,"['1 mg', '5ml']"
METHADONE,10,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,10,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
MORPHINE SULFATE,10,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PROPRANOLOL,6,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,2002877,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['5 mg', '5ml']"
PROPRANOLOL,9,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,2002877,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['5 mg', '5ml']"
PROPRANOLOL,10,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,2002877,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
METHADONE (contains sugar),20,Oral,mg,BD,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
PARACETAMOL,"1,000.00",Oral,mg,6H,Oral Suspension,250 mg/5ml,2004531,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
PARACETAMOL,500,Oral,mg,6H,Oral Suspension,250 mg/5ml,2004531,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
BACLOFEN,10,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
SODIUM FEREDETATE,5,Oral,mL,TDS,Oral Solution Sugar Free,190 mg/5ml,1002721,N,NUTRITION AND BLOOD,09.01.01.01,Bottle,500,mL,"['190 mg', '5ml']"
LEVOCETIRIZINE,500,Oral,microgram,BD,Oral Solution,500 micrograms/1ml,1015342,N,RESPIRATORY SYSTEM,03.04.01,Pack,200,mL,"['500 micrograms', '1ml']"
MORPHINE SULFATE,10,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
SULPIRIDE,100,Oral,mg,OM,Oral Solution,200 mg/5ml,2004773,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['200 mg', '5ml']"
SULPIRIDE,5,Oral,mg,ON,Oral Solution,200 mg/5ml,2004773,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['200 mg', '5ml']"
SULPIRIDE,5,Oral,mg,OM,Oral Solution,200 mg/5ml,2004773,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['200 mg', '5ml']"
SULPIRIDE,100,Oral,mg,OM,Oral Solution,200 mg/5ml,2004773,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['200 mg', '5ml']"
OXYCODONE,10,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
ARIPIPRAZOLE,2.5,Oral,mg,OM,Oral Solution,1 mg/ml,1014164,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['1 mg', 'ml']"
ARIPIPRAZOLE,1,Oral,mg,OM,Oral Solution,1 mg/ml,1014164,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['1 mg', 'ml']"
MEBEVERINE,135,Oral,mg,TDS,Liquid,50 mg/5ml,9006284,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,300,mL,"['50 mg', '5ml']"
DIAZEPAM,"4,000.00",Oral,microgram,tds,Oral Solution Sugar Free,2 mg/5ml,1013950,N,CENTRAL NERVOUS SYSTEM,04.01.02,Bottle,100,mL,"['2 mg', '5ml']"
DIAZEPAM,"10,000.00",Oral,microgram,ON,Oral Solution Sugar Free,2 mg/5ml,1013950,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Bottle,100,mL,"['2 mg', '5ml']"
CARBOCISTEINE,500,NG / PEG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
DIAZEPAM,"4,000.00",NG,microgram,tds,Oral Solution Sugar Free,2 mg/5ml,1013950,N,CENTRAL NERVOUS SYSTEM,04.01.02,Bottle,100,mL,"['2 mg', '5ml']"
DIAZOXIDE,10,NG,mg,ON,Oral Suspension,250 mg/5ml,1012815,Y,ENDOCRINE SYSTEM,06.01.04,Pack,30,mL,"['250 mg', '5ml']"
DIAZOXIDE,4,PO / NG / PEG,mg,TDS,Oral Suspension,250 mg/5ml,1012815,N,ENDOCRINE SYSTEM,06.01.04,Pack,30,mL,"['250 mg', '5ml']"
MEBEVERINE,135,PO / NG / PEG,mg,TDS,Liquid,50 mg/5ml,9006284,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,300,mL,"['50 mg', '5ml']"
SODIUM VALPROATE,500,NG,mg,tds,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,500,Oral,mg,tds,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,500,Oral,mg,OD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
DOCUSATE,25,Oral,mg,TDS,Oral Solution Sugar Free,12.5 mg/5ml,1003676,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['12.5 mg', '5ml']"
LEVETIRACETAM,"1,000.00",Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
SODIUM VALPROATE,"1,000.00",Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
PROMETHAZINE HYDROCHLORIDE,5,Oral,mg,ON,Oral Solution,5 mg/5ml,1006297,N,RESPIRATORY SYSTEM,03.04.01,Bottle,100,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
FLUCLOXACILLIN,125,Oral,mg,QDS,Oral Solution,125 mg/5ml,3002883,N,INFECTIONS,05.01.01.02,Bottle,100,mL,"['125 mg', '5ml']"
CLARITHROMYCIN,62.5,Oral,mg,BD,Oral Suspension,125 mg/5ml,9005627,N,INFECTIONS,05.01.05,Bottle,70,mL,"['125 mg', '5ml']"
PARACETAMOL SUGAR FREE,264,Oral,mg,QDS,Oral Suspension,120 mg/5ml,1005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,mL,"['120 mg', '5ml']"
KETAMINE (ORANGE),25,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
ERYTHROMYCIN ETHYL SUCCINATE,250,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2003215,N,INFECTIONS,05.01.05,Bottle,100,mL,"['250 mg', '5ml']"
ERYTHROMYCIN ETHYL SUCCINATE,250,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2003215,N,INFECTIONS,05.01.05,Pack,140,mL,"['250 mg', '5ml']"
PROPRANOLOL,14,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,2002877,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['5 mg', '5ml']"
MIRTAZAPINE,22.5,Oral,mg,ON,Oral Solution Sugar Free,15 mg/1ml,1012569,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,1,mL,"['15 mg', '1ml']"
FUROSEMIDE,20,Oral,mg,BD,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
CICLOSPORIN 'NEORAL',125,Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1008626,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.02,Pack,50,mL,"['100 mg', 'ml']"
CICLOSPORIN 'NEORAL',175,Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1008626,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.02,Pack,50,mL,"['100 mg', 'ml']"
CICLOSPORIN 'NEORAL',200,Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1008626,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.02,Pack,50,mL,"['100 mg', 'ml']"
LORATADINE,5,PEG,mg,OM,Oral Solution,5 mg/5ml,2005567,N,RESPIRATORY SYSTEM,03.04.01,Bottle,100,mL,"['5 mg', '5ml']"
SODIUM VALPROATE,600,PEG,mg,OM,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,15,PEG,mg,OM,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,800,PEG,mg,OD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
CEFALEXIN,125,Oral,mg,TDS,Oral Suspension,125 mg/5ml,1003163,N,INFECTIONS,05.01.02,Bottle,100,mL,"['125 mg', '5ml']"
MEMANTINE,10,Oral,mg,BD,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,50,mL,"['10 mg', 'ml']"
MEMANTINE,10,Oral,mg,BD,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,100,mL,"['10 mg', 'ml']"
RISPERIDONE,0.5,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
MORPHINE SULFATE,5,Oral,mg,"8am, 2pm, 8pm, 2am",Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,"8am, 2pm, 8pm, 2am",Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
METRONIDAZOLE,500,Oral,mg,TDS,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
ERYTHROMYCIN ETHYL SUCCINATE,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2003215,N,INFECTIONS,05.01.05,Bottle,100,mL,"['250 mg', '5ml']"
ERYTHROMYCIN ETHYL SUCCINATE,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2003215,N,INFECTIONS,05.01.05,Pack,140,mL,"['250 mg', '5ml']"
DOCUSATE,200,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
LEVETIRACETAM,500,Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
METFORMIN,500,PO / NG / PEG,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
